	model_id	mean_residual_deviance	rmse	mse	mae	rmsle	system_date	runtime
0	GBM_1_AutoML_20190416_015849	25146739460939084	158577235.00218776	25146739460939084	96028946.2887346	0.3325625379269681	2019-04-16	1000
1	XGBoost_grid_1_AutoML_20190416_021340_model_7	25287291314391604	159019782.77683443	25287291314391604	94756821.10638298	0.3265109694820456	2019-04-16	1000
2	XGBoost_1_AutoML_20190416_015849	25430683883193010	159470009.35346118	25430683883193010	94624321.24165732	0.3254745865205184	2019-04-16	1000
3	XGBoost_1_AutoML_20190416_021340	25444619375119092	159513696.5126164	25444619375119092	94909111.0844345	0.3247477245623427	2019-04-16	1000
4	XGBoost_grid_1_AutoML_20190416_022142_model_9	25445077879451860	159515133.70038548	25445077879451860	93976353.33303472	0.32974511411594026	2019-04-16	1000
5	XGBoost_grid_1_AutoML_20190416_022142_model_3	25605051932525788	160015786.51034963	25605051932525788	93655971.06203808	0.3230117653534213	2019-04-16	1000
6	XGBoost_grid_1_AutoML_20190416_020809_model_4	25650591781436650	160158021.2834707	25650591781436650	94959937.13863382	0.3256110044640297	2019-04-16	1000
7	XGBoost_grid_1_AutoML_20190416_022142_model_14	25668110357786624	160212703.48441982	25668110357786624	95048095.65778276	0.32606671705433715	2019-04-16	1000
8	XGBoost_grid_1_AutoML_20190416_022142_model_16	25781216032985580	160565301.4601398	25781216032985580	93900215.69540872	0.3268410911874458	2019-04-16	1000
9	XGBoost_1_AutoML_20190416_022142	25937422774155144	161050994.32836527	25937422774155144	94928749.03740202	0.3254774090437719	2019-04-16	1000
10	GBM_1_AutoML_20190416_020809	25964562050560844	161135229.07967967	25964562050560844	97608203.53054428	0.334991125349722	2019-04-16	1000
11	GBM_grid_1_AutoML_20190416_021340_model_9	25998652512830424	161240976.53149593	25998652512830424	95539592.52258098	0.32993690143952065	2019-04-16	1000
12	XGBoost_1_AutoML_20190416_020809	26088676862485030	161519896.18150768	26088676862485030	95505214.75117579	0.3253468369950239	2019-04-16	1000
13	XGBoost_grid_1_AutoML_20190416_022142_model_6	26096871388238400	161545261.11352938	26096871388238400	95137034.78701007	0.3340204303048377	2019-04-16	1000
14	XGBoost_grid_1_AutoML_20190416_021340_model_6	26163254415399372	161750593.24589622	26163254415399372	94258641.51847704	0.32168225280342155	2019-04-16	1000
15	GBM_1_AutoML_20190416_022142	26185054804729228	161817968.1145738	26185054804729228	96979410.08741993	0.3323503737004983	2019-04-16	1000
16	XGBoost_2_AutoML_20190416_021340	26203618972139588	161875319.21864924	26203618972139588	95122340.0206047	0.325948763409034	2019-04-16	1000
17	XGBoost_grid_1_AutoML_20190416_020809_model_7	26209289749989464	161892834.15268713	26209289749989464	94906747.54580069	0.3272081282103748	2019-04-16	1000
18	XGBoost_grid_1_AutoML_20190416_021340_model_8	26235333407713864	161973249.04969296	26235333407713864	95147860.00985442	0.32372215750963346	2019-04-16	1000
19	XGBoost_grid_1_AutoML_20190416_022142_model_1	26278270712274140	162105739.2946781	26278270712274140	93395943.42665172	0.3224053100418281	2019-04-16	1000
